Sample name	Sample ID	Sample ontology ID	Facet ontology ID	Facet ontology term
Hepatic Stellate Cells (lipocyte), donor1	CNhs11335	FF:11524-119I3	CL:0000632	hepatic stellate cell
Hepatic Stellate Cells (lipocyte), donor2	CNhs12093	FF:11604-120I2	CL:0000632	hepatic stellate cell
Hepatocyte, donor1	CNhs12340	FF:11523-119I2	CL:0000182	hepatocyte
Hepatocyte, donor2	CNhs12349	FF:11603-120I1	CL:0000182	hepatocyte
Hepatocyte, donor3	CNhs12626	FF:11684-122I1	CL:0000182	hepatocyte
Intestinal epithelial cells (polarized), donor1	CNhs10875	FF:11246-116E4	CL:0002563	intestinal epithelial cell
Iris Pigment Epithelial Cells, donor1	CNhs12596	FF:11530-119I9	CL:0002565	iris pigment epithelial cell
Keratinocyte - epidermal, donor1	CNhs11064	FF:11272-116H3	CL:0000312	keratinocyte
Keratinocyte - epidermal, donor2	CNhs11381	FF:11349-117G8	CL:0000312	keratinocyte
Keratinocyte - epidermal, donor3	CNhs12031	FF:11421-118F8	CL:0000312	keratinocyte
Keratinocyte - oral, donor1	CNhs10879	FF:11251-116E9	CL:0000312	keratinocyte
Keratocytes, donor1	CNhs11337	FF:11527-119I6	CL:0002363	keratocyte
Keratocytes, donor2	CNhs12095	FF:11607-120I5	CL:0002363	keratocyte
Alveolar Epithelial Cells, donor2	CNhs12084	FF:11590-120G6	CL:0002518	kidney epithelial cell
Renal Cortical Epithelial Cells, donor1	CNhs11331	FF:11516-119H4	CL:0002518	kidney epithelial cell
Renal Cortical Epithelial Cells, donor2	CNhs12728	FF:11596-120H3	CL:0002518	kidney epithelial cell
Renal Epithelial Cells, donor1	CNhs11332	FF:11517-119H5	CL:0002518	kidney epithelial cell
Renal Epithelial Cells, donor2	CNhs12088	FF:11597-120H4	CL:0002518	kidney epithelial cell
Renal Epithelial Cells, donor3	CNhs12732	FF:11678-122H4	CL:0002518	kidney epithelial cell
Renal Glomerular Endothelial Cells, donor1	CNhs12074	FF:11514-119H2	CL:0002518	kidney epithelial cell
Renal Glomerular Endothelial Cells, donor2	CNhs12086	FF:11594-120H1	CL:0002518	kidney epithelial cell
Renal Glomerular Endothelial Cells, donor3	CNhs12624	FF:11675-122H1	CL:0002518	kidney epithelial cell
Renal Glomerular Endothelial Cells, donor4	CNhs13080	FF:11783-124B1	CL:0002518	kidney epithelial cell
Renal Mesangial Cells, donor1	CNhs11333	FF:11518-119H6	CL:0002518	kidney epithelial cell
Renal Mesangial Cells, donor3	CNhs12121	FF:11679-122H5	CL:0002518	kidney epithelial cell
Renal Proximal Tubular Epithelial Cell, donor1	CNhs11330	FF:11515-119H3	CL:0002518	kidney epithelial cell
Renal Proximal Tubular Epithelial Cell, donor2	CNhs12087	FF:11595-120H2	CL:0002518	kidney epithelial cell
Renal Proximal Tubular Epithelial Cell, donor3	CNhs12120	FF:11676-122H2	CL:0002518	kidney epithelial cell
Smooth Muscle Cells - Bronchial, donor2	CNhs12348	FF:11592-120G8	CL:0002518	kidney epithelial cell
Lens Epithelial Cells, donor1	CNhs12342	FF:11529-119I8	CL:0002224	lens epithelial cell
Lens Epithelial Cells, donor2	CNhs12568	FF:11609-120I7	CL:0002224	lens epithelial cell
Lens Epithelial Cells, donor3	CNhs12572	FF:11690-122I7	CL:0002224	lens epithelial cell
CD19+ B Cells, donor1	CNhs12343	FF:11544-120B5	CL:0000945	lymphocyte of B lineage
CD19+ B Cells, donor2	CNhs12352	FF:11624-122B4	CL:0000945	lymphocyte of B lineage
CD19+ B Cells, donor3	CNhs12354	FF:11705-123B4	CL:0000945	lymphocyte of B lineage
Macrophage - monocyte derived, donor1	CNhs10861	FF:11232-116C8	CL:0000235	macrophage
Macrophage - monocyte derived, donor2	CNhs11899	FF:11313-117C8	CL:0000235	macrophage
Macrophage - monocyte derived, donor3	CNhs12003	FF:11389-118C3	CL:0000235	macrophage
Mammary Epithelial Cell, donor1	CNhs11077	FF:11273-116H4	CL:0002327	mammary epithelial cell
Mammary Epithelial Cell, donor2	CNhs11382	FF:11350-117G9	CL:0002327	mammary epithelial cell
Mammary Epithelial Cell, donor3	CNhs12032	FF:11422-118F9	CL:0002327	mammary epithelial cell
Mast cell - stimulated, donor1	CNhs11073	FF:11487-119E2	CL:0000097	mast cell
Mast cell, donor1	CNhs12566	FF:11563-120D6	CL:0000097	mast cell
Mast cell, donor2	CNhs12594	FF:11565-120D8	CL:0000097	mast cell
Mast cell, donor3	CNhs12593	FF:11566-120D9	CL:0000097	mast cell
Mast cell, donor4	CNhs12592	FF:11567-120E1	CL:0000097	mast cell
Melanocyte - dark, donor3	CNhs12570	FF:11663-122F7	CL:0000148	melanocyte
Melanocyte - light, donor1	CNhs11303	FF:11274-116H5	CL:0000148	melanocyte
Melanocyte - light, donor2	CNhs11383	FF:11351-117H1	CL:0000148	melanocyte
Melanocyte - light, donor3	CNhs12033	FF:11423-118G1	CL:0000148	melanocyte
amniotic membrane cells, donor1	CNhs12502	FF:12235-129G3	CL:0000134	mesenchymal cell
chorionic membrane cells, donor2	CNhs12506	FF:12239-129G7	CL:0000134	mesenchymal cell
chorionic membrane cells, donor1	CNhs12504	FF:12238-129G6	CL:0000134	mesenchymal cell
mesenchymal precursor cell - adipose, donor1	CNhs12363	FF:11747-123G1	CL:0000134	mesenchymal cell
mesenchymal precursor cell - adipose, donor2	CNhs12364	FF:11748-123G2	CL:0000134	mesenchymal cell
mesenchymal precursor cell - adipose, donor3	CNhs12365	FF:11749-123G3	CL:0000134	mesenchymal cell
mesenchymal precursor cell - bone marrow, donor1	CNhs12366	FF:11750-123G4	CL:0000134	mesenchymal cell
Mesenchymal Stem Cells - Wharton's Jelly, donor1	CNhs11057	FF:11548-120B9	CL:0000134	mesenchymal cell
Mesenchymal Stem Cells - adipose, donor3	CNhs12922	FF:11698-123A6	CL:0000134	mesenchymal cell
Mesenchymal Stem Cells - amniotic membrane, donor2	CNhs12104	FF:11627-122B7	CL:0000134	mesenchymal cell
Mesenchymal Stem Cells - bone marrow, donor1	CNhs11344	FF:11536-120A6	CL:0000134	mesenchymal cell
Mesenchymal Stem Cells - bone marrow, donor2	CNhs12100	FF:11616-122A5	CL:0000134	mesenchymal cell
Mesenchymal Stem Cells - bone marrow, donor3	CNhs12126	FF:11697-123A5	CL:0000134	mesenchymal cell
Mesenchymal stem cells - hepatic, donor0	CNhs10845	FF:11218-116B3	CL:0000134	mesenchymal cell
Mesenchymal Stem Cells - hepatic, donor2	CNhs12730	FF:11618-122A7	CL:0000134	mesenchymal cell
Mesenchymal stem cells - umbilical, donor0	CNhs12492	FF:11214-116A8	CL:0000134	mesenchymal cell
Mesenchymal Stem Cells - umbilical, donor3	CNhs12127	FF:11700-123A8	CL:0000134	mesenchymal cell
Mesenchymal Stem Cells - adipose, donor1	CNhs11345	FF:11537-120A7	CL:0000134	mesenchymal cell
Mesenchymal Stem Cells - umbilical, donor1	CNhs11347	FF:11539-120A9	CL:0000134	mesenchymal cell
Multipotent Cord Blood Unrestricted Somatic Stem Cells, donor2	CNhs12105	FF:11629-122B9	CL:0000134	mesenchymal cell
amniotic membrane cells, donor2	CNhs12503	FF:12236-129G4	CL:0000134	mesenchymal cell
amniotic membrane cells, donor3	CNhs12379	FF:12237-129G5	CL:0000134	mesenchymal cell
chorionic membrane cells, donor3	CNhs12380	FF:12240-129G8	CL:0000134	mesenchymal cell
mesenchymal precursor cell - bone marrow, donor2	CNhs12367	FF:11751-123G5	CL:0000134	mesenchymal cell
mesenchymal precursor cell - bone marrow, donor3	CNhs13098	FF:11840-124H4	CL:0000134	mesenchymal cell
mesenchymal precursor cell - cardiac, donor1	CNhs12368	FF:11752-123G6	CL:0000134	mesenchymal cell
mesenchymal precursor cell - cardiac, donor2	CNhs12369	FF:11753-123G7	CL:0000134	mesenchymal cell
mesenchymal precursor cell - cardiac, donor3	CNhs12370	FF:11754-123G8	CL:0000134	mesenchymal cell
mesenchymal precursor cell - cardiac, donor4	CNhs12371	FF:11755-123G9	CL:0000134	mesenchymal cell
Mesenchymal stem cells - adipose, donor0	CNhs10844	FF:11217-116B2	CL:0000134	mesenchymal cell
Mesenchymal Stem Cells - amniotic membrane, donor1	CNhs11349	FF:11547-120B8	CL:0000134	mesenchymal cell
Multipotent Cord Blood Unrestricted Somatic Stem Cells, donor1	CNhs11350	FF:11549-120C1	CL:0000134	mesenchymal cell
Mesothelial Cells, donor1	CNhs10850	FF:11247-116E5	CL:0000077	mesothelial cell
Mesothelial Cells, donor3	CNhs12012	FF:11402-118D7	CL:0000077	mesothelial cell
Sertoli Cells, donor1	CNhs10851	FF:11255-116F4	CL:0000077	mesothelial cell
CD14+ Monocytes, donor2	CNhs11954	FF:11305-117B9	CL:0000576	monocyte
CD14+ Monocytes, donor3	CNhs11997	FF:11381-118B4	CL:0000576	monocyte
CD14+CD16- Monocytes, donor1	CNhs13224	FF:11788-124B6	CL:0000576	monocyte
CD14+ monocyte derived endothelial progenitor cells, donor2	CNhs11897	FF:11310-117C5	CL:0000576	monocyte
CD14+ monocyte derived endothelial progenitor cells, donor3	CNhs11904	FF:11386-118B9	CL:0000576	monocyte
CD14+ monocytes - mock treated, donor1	CNhs13468	FF:11863-125A9	CL:0000576	monocyte
CD14+ monocytes - mock treated, donor2	CNhs13484	FF:11873-125C1	CL:0000576	monocyte
CD14+ monocytes - mock treated, donor3	CNhs13491	FF:11883-125D2	CL:0000576	monocyte
CD14+CD16+ Monocytes, donor2	CNhs13208	FF:11801-124D1	CL:0000576	monocyte
CD14+ Monocytes, donor1	CNhs10852	FF:11224-116B9	CL:0000576	monocyte
CD14+CD16- Monocytes, donor2	CNhs13216	FF:11799-124C8	CL:0000576	monocyte
CD14+CD16+ Monocytes, donor3	CNhs13549	FF:11912-125G4	CL:0000576	monocyte
CD14-CD16+ Monocytes, donor2	CNhs13207	FF:11800-124C9	CL:0000576	monocyte
CD14+CD16- Monocytes, donor3	CNhs13540	FF:11910-125G2	CL:0000576	monocyte
CD14+CD16+ Monocytes, donor1	CNhs13541	FF:11789-124B7	CL:0000576	monocyte
CD14-CD16+ Monocytes, donor3	CNhs13548	FF:11911-125G3	CL:0000576	monocyte
CD14+ monocyte derived endothelial progenitor cells, donor1	CNhs10858	FF:11229-116C5	CL:0000576	monocyte
Myoblast, donor2	CNhs11965	FF:11322-117D8	CL:0000056	myoblast
Myoblast, donor1	CNhs10870	FF:11241-116D8	CL:0000056	myoblast
Myoblast, donor3	CNhs11908	FF:11398-118D3	CL:0000056	myoblast
Natural Killer Cells, donor2	CNhs11957	FF:11311-117C6	CL:0000623	natural killer cell
Natural Killer Cells, donor3	CNhs12001	FF:11387-118C1	CL:0000623	natural killer cell
Natural Killer Cells, donor1	CNhs10859	FF:11230-116C6	CL:0000623	natural killer cell
Neurons, donor1	CNhs12338	FF:11494-119E9	CL:0000540	neuron
Neurons, donor2	CNhs12726	FF:11574-120E8	CL:0000540	neuron
Neurons, donor3	CNhs13815	FF:11655-122E8	CL:0000540	neuron
Neural stem cells, donor1	CNhs11063	FF:11275-116H6	CL:0000047	neuronal stem cell
Neural stem cells, donor2	CNhs11384	FF:11352-117H2	CL:0000047	neuronal stem cell
Neutrophils, donor1	CNhs10862	FF:11233-116C9	CL:0000775	neutrophil
Neutrophils, donor2	CNhs11959	FF:11314-117C9	CL:0000775	neutrophil
Neutrophils, donor3	CNhs11905	FF:11390-118C4	CL:0000775	neutrophil
Osteoblast - differentiated, donor1	CNhs11311	FF:11276-116H7	CL:0000062	osteoblast
Osteoblast - differentiated, donor2	CNhs11980	FF:11353-117H3	CL:0000062	osteoblast
Osteoblast - differentiated, donor3	CNhs12035	FF:11425-118G3	CL:0000062	osteoblast
Osteoblast, donor2	CNhs11385	FF:11354-117H4	CL:0000062	osteoblast
Osteoblast, donor3	CNhs12036	FF:11426-118G4	CL:0000062	osteoblast
Pericytes, donor1	CNhs11317	FF:11491-119E6	CL:0000669	pericyte cell
Pericytes, donor2	CNhs12079	FF:11571-120E5	CL:0000669	pericyte cell
Placental Epithelial Cells, donor1	CNhs11079	FF:11278-116H9	CL:0002577	placental epithelial cell
Placental Epithelial Cells, donor2	CNhs11386	FF:11355-117H5	CL:0002577	placental epithelial cell
Placental Epithelial Cells, donor3	CNhs12037	FF:11427-118G5	CL:0002577	placental epithelial cell
Preadipocyte - breast, donor1	CNhs11052	FF:11467-119B9	CL:0002334	preadipocyte
Preadipocyte - breast, donor2	CNhs11971	FF:11328-117E5	CL:0002334	preadipocyte
Preadipocyte - omental, donor1	CNhs11065	FF:11468-119C1	CL:0002334	preadipocyte
Preadipocyte - omental, donor2	CNhs11902	FF:11329-117E6	CL:0002334	preadipocyte
Preadipocyte - omental, donor3	CNhs12013	FF:11403-118D8	CL:0002334	preadipocyte
Preadipocyte - perirenal, donor1	CNhs12065	FF:11469-119C2	CL:0002334	preadipocyte
Preadipocyte - subcutaneous, donor2	CNhs11981	FF:11356-117H6	CL:0002334	preadipocyte
Preadipocyte - subcutaneous, donor3	CNhs12038	FF:11428-118G6	CL:0002334	preadipocyte
Preadipocyte - visceral, donor1	CNhs11082	FF:11280-116I2	CL:0002334	preadipocyte
Preadipocyte - visceral, donor2	CNhs11982	FF:11357-117H7	CL:0002334	preadipocyte
Preadipocyte - visceral, donor3	CNhs12039	FF:11429-118G7	CL:0002334	preadipocyte
Alveolar Epithelial Cells, donor1	CNhs11325	FF:11510-119G7	CL:0002368	respiratory epithelial cell
Bronchial Epithelial Cell, donor4	CNhs12054	FF:11453-119A4	CL:0002368	respiratory epithelial cell
Bronchial Epithelial Cell, donor5	CNhs12058	FF:11457-119A8	CL:0002368	respiratory epithelial cell
Bronchial Epithelial Cell, donor6	CNhs12062	FF:11461-119B3	CL:0002368	respiratory epithelial cell
Small Airway Epithelial Cells, donor1	CNhs10884	FF:11256-116F5	CL:0002368	respiratory epithelial cell
Small Airway Epithelial Cells, donor2	CNhs11975	FF:11334-117F2	CL:0002368	respiratory epithelial cell
Small Airway Epithelial Cells, donor3	CNhs12016	FF:11406-118E2	CL:0002368	respiratory epithelial cell
Tracheal Epithelial Cells, donor1	CNhs11092	FF:11292-117A5	CL:0002368	respiratory epithelial cell
Tracheal Epithelial Cells, donor2	CNhs11993	FF:11369-118A1	CL:0002368	respiratory epithelial cell
Tracheal Epithelial Cells, donor3	CNhs12051	FF:11441-118I1	CL:0002368	respiratory epithelial cell
Reticulocytes, biol_ rep1	CNhs13552	FF:11931-125I5	CL:0000558	reticulocyte
Reticulocytes, biol_ rep2	CNhs13553	FF:11932-125I6	CL:0000558	reticulocyte
Retinal Pigment Epithelial Cells, donor0	CNhs10842	FF:11215-116A9	CL:0002586	retinal pigment epithelial cell
Retinal Pigment Epithelial Cells, donor1	CNhs11338	FF:11528-119I7	CL:0002586	retinal pigment epithelial cell
Retinal Pigment Epithelial Cells, donor3	CNhs12733	FF:11689-122I6	CL:0002586	retinal pigment epithelial cell
nasal epithelial cells, donor1, tech_rep1	CNhs12589	FF:12226-129F3	CL:0000098	sensory epithelial cell
Olfactory epithelial cells, donor1	CNhs13816	FF:11933-125I7	CL:0000098	sensory epithelial cell
Olfactory epithelial cells, donor2	CNhs13817	FF:11934-125I8	CL:0000098	sensory epithelial cell
Olfactory epithelial cells, donor3	CNhs13818	FF:11935-125I9	CL:0000098	sensory epithelial cell
Olfactory epithelial cells, donor4	CNhs13819	FF:11936-126A1	CL:0000098	sensory epithelial cell
nasal epithelial cells, donor2	CNhs12574	FF:12227-129F4	CL:0000098	sensory epithelial cell
Skeletal Muscle Cells, donor4	CNhs12053	FF:11451-119A2	CL:0000188	skeletal muscle cell
Skeletal Muscle Cells, donor5	CNhs12056	FF:11455-119A6	CL:0000188	skeletal muscle cell
Skeletal Muscle Cells, donor6	CNhs12060	FF:11459-119B1	CL:0000188	skeletal muscle cell
Skeletal Muscle Satellite Cells, donor1	CNhs10869	FF:11240-116D7	CL:0000188	skeletal muscle cell
Skeletal Muscle Satellite Cells, donor2	CNhs11964	FF:11321-117D7	CL:0000188	skeletal muscle cell
Skeletal Muscle Satellite Cells, donor3	CNhs12008	FF:11397-118D2	CL:0000188	skeletal muscle cell
